产品名称,规格,单位,原价(元),新价(元)
牛皮豆干,10张×10袋,箱,240.00,252.00
油泼香干(常温),200克×50袋,箱,180.00,189.00
牛皮豆干(农贸版),4斤×6袋,箱,170.00,178.50
起泡豆干,10张×10袋,箱,260.00,273.00
起泡豆干,500克×20袋,箱,170.00,178.50
鞋垫豆干,10张×20袋,箱,260.00,273.00
烧烤豆干,10张×20袋,箱,270.00,283.50
千丝豆干(超值版),1.25千克×10袋,箱,240.00,252.00
千丝豆干(牛皮/起泡),500克×20袋,箱,200.00,210.00
酥皮卤香干,2片×50袋,箱,200.00,210.00
酥皮卤香干条,500克×20袋,箱,180.00,189.00
虎皮豆干,500克×10袋,箱,110.00,115.50
黑豆花,400克×20盒,箱,110.00,115.50
魔芋素毛肚,350克×24袋,箱,110.00,115.50
魔芋丝结,220克×24盒,箱,60.00,63.00
素毛肚,360克×26袋,箱,110.00,115.50
素虾仁,400克×20袋,箱,80.00,84.00
魔芋大刀毛肚(黑/白),500克×20袋,箱,75.00,78.75
魔芋水爆肚(黑/白),500克×20袋,箱,75.00,78.75
魔芋丝结,500克×20袋,箱,65.00,68.25
魔芋丝结,-,箱,60.00,63.00
魔芋(肚片/肚丝/百叶/腰花),500克×20袋,箱,45.00,47.25
魔芋(肚片/肚丝/百叶/腰花),-,箱,40.00,42.00
卤肥肠,1千克×5袋,箱,280.00,294.00
白卤肥肠段,500克×10袋,箱,360.00,378.00
肥肠头,1千克×5袋,箱,390.00,409.50
肥肠段,150克×30袋,箱,380.00,399.00
肥肠结子精品,1.25千克×2袋,箱,120.00,126.00
冒节子(大),50个×2袋,箱,180.00,189.00
冒结子,1千克×5袋,箱,190.00,199.50
鸡毛肚,500克×15袋,箱,280.00,294.00
三旋虎皮凤爪,1千克×10袋,箱,380.00,399.00
虎皮凤爪,1千克×10袋,箱,320.00,336.00
猪肚条,500克×10袋,箱,280.00,294.00
猪肚条段,500克×10袋,箱,300.00,315.00
千丝猪肚条,150克×30袋,箱,310.00,325.50
牛头肉,500克×10袋,箱,200.00,210.00
牛肚边角版,1千克×10袋,箱,180.00,189.00
牛肚,1.25千克×4袋,箱,170.00,178.50
嘟嘟肠,350克×20袋,箱,200.00,210.00
虎皮猪皮,500克×20袋,箱,210.00,220.50
大刀腰片,150克×50袋,箱,460.00,483.00
巴掌腰花,500克×20袋,箱,560.00,588.00
串串专用腰条,500克×20袋,箱,560.00,588.00
牛肚片,500克×10袋,箱,360.00,378.00
滑专家大颗粒虾滑,150克×30袋,箱,330.00,346.50
滑专家大颗粒虾滑,500克×20袋,箱,650.00,682.50
滑专家黑虎虾滑,500克×20袋,箱,840.00,882.00
滑专家鱼子鱼豆花,150克×40袋,箱,280.00,294.00
小酥肉,1千克×10袋,箱,310.00,325.50
黄金厨神鸭肠,520克×20袋,箱,160.00,168.00
鸭肠,500克×20袋,箱,235.00,246.75
脱骨鸭掌,500克×20袋,箱,590.00,619.50
鸭血,30个×10袋,箱,260.00,273.00
免浆乌鱼片,100克×60袋,箱,700.00,735.00
通威免浆乌鱼片,250克×25袋,箱,210.00,220.50
卤鸡翅尖,1千克×10袋,箱,260.00,273.00
鸡翅中,1公斤×10袋,箱,280.00,294.00
鸡脆骨,1公斤×10袋,箱,330.00,346.50
串串,1公斤×10袋,箱,225.00,236.25
水晶滑肉,200克×40袋,箱,340.00,357.00
梅花滑肉,200克×40袋,箱,340.00,357.00
玉米滑,150克×30袋,箱,175.00,183.75
鳝鱼段,1公斤×15袋,箱,860.00,903.00
鳝鱼片,500克×15袋,箱,510.00,535.50
耗儿鱼(60/80,80/100,100/120),45条/35条/29条,箱,345.00,362.25
耗儿鱼(120/150),24条左右,箱,330.00,346.50
速冻海带苗,500克×20袋,箱,180.00,189.00
速冻海带结,500克×20袋,箱,160.00,168.00
颗粒小郡肝,450克×10袋,箱,165.00,173.25
带签小郡肝,3份/袋×25袋,箱,445.00,467.25
带签掌中宝,3份/袋×25袋,箱,470.00,493.50
包菜牛肉片,1公斤×10袋,箱,540.00,567.00
牛肉丁,1公斤×10袋,箱,540.00,567.00
火箭鲈鱼(中小),-,斤,370.00,388.50
火箭鲈鱼(特大),-,斤,380.00,399.00
糖心鲈鱼,1公斤×10袋,斤,400.00,420.00
一级品,-,箱,220.00,231.00
野菜料想,245克×20袋,箱,120.00,126.00
玉米笋清水,200克×40袋,箱,185.00,194.25
玉米笋清水,400克×25袋,箱,185.00,194.25
玉米笋清水,1公斤×8袋,箱,185.00,194.25
火锅笋片,250克×20袋,箱,80.00,84.00
火锅笋条,250克×20袋,箱,80.00,84.00
笋片,2.7公斤×6袋,箱,120.00,126.00
爆汗粉,200克×40袋,箱,110.00,115.50
粉耗子,200克×40袋,箱,85.00,89.25
广味小香肠,90克×50袋,箱,340.00,357.00
火锅小香肠,500克×10袋,箱,310.00,325.50
火锅川粉,240克×50袋,箱,100.00,105.00
美宁云腿午餐肉,340克×24罐,箱,210.00,220.50
毛肚,5斤×10袋,斤,时价,时价
黄喉,5斤×10袋,斤,时价,时价
水发白千层,5斤×10袋,斤,时价,时价
黑千层,5斤×10袋,斤,时价,时价
底板丝,5斤/袋,斤,时价,时价
